User_ID,Age,Sex,Housing_Type,Followers,Posts,avg_sentiment_last_month,positive_post_ratio,negative_post_ratio,neutral_post_ratio,sentiment_volatility,Total_Interactions
0,67,male,own,7370,115,0.5793970142849583,0.0015651051914729042,0.5180080664046248,0.4804268284039023,0.9842691450304348,1.0
1,22,female,own,960,101,0.3174155510017522,0.636401370183407,0.140324518193515,0.22327411162307798,0.17751892515731232,1.0
2,49,male,own,5490,296,-0.003608567093722037,0.051135381442100725,0.6711574733796887,0.2777071451782106,0.8329481013418852,1.0
3,45,male,free,5291,387,0.11072710187526247,0.25760722033372185,0.6204737850519706,0.12191899461430755,0.35230127729627125,1.0
4,53,male,free,5834,402,0.4384035565445277,0.059524700347771686,0.7422531871990872,0.19822211245314114,0.21896169197848458,1.0
5,35,male,free,6365,60,-0.5430905173374025,0.6037954529493877,0.1698810060507353,0.22632354099987695,0.49587007574245145,1.0
6,53,male,own,566,38,0.9926678321134839,0.6865899134926068,0.19497519990028922,0.118434886607104,0.6795609215028522,1.0
7,35,male,rent,4526,471,0.9495863242935663,0.11448763806590512,0.8904095172193285,-0.004897155285233712,0.4428566605211275,1.0
8,61,male,own,5678,305,0.30065137269387376,0.3838388830449795,0.7499777984520708,-0.13381668149705028,0.14910886745442908,1.0
9,28,male,own,8422,306,-0.6009150981417097,0.456236508955542,0.9082284887003229,-0.36446499765586493,0.6395150256928449,1.0
10,25,female,rent,1785,223,0.36045648486258264,0.3690530217609166,0.7587153211639207,-0.1277683429248373,0.9121629484996072,1.0
11,24,female,rent,869,276,-0.8556031820416483,0.12102500048519305,0.5971553059903019,0.2818196935245051,0.4448938293525265,1.0
12,22,female,own,7049,416,-0.9386949955883879,0.4189477901874754,0.6541327370278737,-0.07308052721534919,0.29469949986774435,1.0
13,60,male,own,2533,266,-0.48463422297757264,0.7511780478084181,0.88912792394001,-0.6403059717484281,0.49831961133953384,1.0
14,28,female,rent,5411,311,-0.07475408652136739,0.07100766453325547,0.5788067545119405,0.350185580954804,0.1435264399439028,1.0
15,32,female,own,5151,110,0.736545010816761,0.08018001408190345,0.6323913243283874,0.28742866158970914,0.8384388260322473,1.0
16,53,male,own,6520,414,0.45433813953261604,0.3547712918359842,0.15647671600360058,0.4887519921604152,0.843706729855168,1.0
17,25,male,own,1284,355,0.4854130423999621,0.941725711618925,0.4739212201161027,-0.41564693173502776,0.6292004170866655,1.0
18,44,female,free,4655,119,-0.1490133311038493,0.668572646722914,0.716397111958099,-0.384969758681013,0.41779260004455054,1.0
19,31,male,own,3485,429,-0.30813001490607417,0.6786699566725648,0.2709426983163654,0.050387345011069784,0.819805028001205,1.0
20,48,male,own,6496,191,-0.2579224740307946,0.36191999083786497,0.20225418052453492,0.4358258286376001,0.5992183223095304,1.0
21,44,male,rent,8766,480,0.9752991274721157,0.5936607912085384,0.31382680822441555,0.09251240056704602,0.8433390776950146,1.0
22,48,male,rent,9374,322,-0.919781617175035,0.010131184027743378,0.24150062799283345,0.7483681879794232,0.6683129133247185,1.0
23,44,male,own,2658,10,0.7340629922448971,0.6360960464095422,0.21491263703639585,0.14899131655406195,0.8059649258915176,1.0
24,26,male,own,7949,328,0.15735081714478683,0.9132869475762367,0.42485084286808694,-0.3381377904443237,0.638706693895984,1.0
25,36,male,own,2147,447,-0.12276916162081908,0.6125734683448192,0.9078385138835341,-0.5204119822283533,0.47272696139409964,1.0
26,39,male,own,2847,64,0.450515320830273,0.873698593466345,0.5070596467387183,-0.3807582402050633,0.9621512739335238,1.0
27,42,female,rent,9267,380,-0.0266621171505943,0.7239730554660938,0.18792038081532303,0.08810656371858316,0.5870024423909603,1.0
28,34,male,own,289,433,0.7468464761633211,0.12055841640369025,0.07697166938087407,0.8024699142154357,0.6445805666864846,1.0
29,63,male,own,2834,408,0.801403728022517,0.9024533072858417,0.6961561451379252,-0.5986094524237671,0.2984388754732743,1.0
30,36,male,own,3105,158,-0.15655814625308917,0.06644384435577488,0.38279876443638783,0.5507573912078373,0.6630857104845488,1.0
31,27,male,own,4758,440,-0.44634440552989685,0.5339674725477638,0.8218309465853593,-0.35579841913312293,0.6144468845346495,1.0
32,30,male,own,1999,466,0.18470065718672446,0.14213712379345766,0.6595107686407702,0.19835210756577215,0.26635455815232245,1.0
33,57,male,rent,7834,318,0.8247266912333819,0.011706610730904066,0.7962414505413685,0.1920519387277274,0.15362838761782935,1.0
34,33,female,own,1367,146,-0.5786756219886668,0.422034260127639,0.27194603941844875,0.30601970045391225,0.6439233877432939,1.0
35,25,male,own,1628,211,0.24593316712696556,0.29504070765415624,0.6923589224610581,0.012600369884785634,0.7873230424152885,1.0
36,31,male,free,3656,445,0.2631204401850411,0.486000493797603,0.2640619846937188,0.2499375215086782,0.5710612338298074,1.0
37,37,male,own,3990,322,0.46622604483056196,0.5771998867345508,0.9390684794502916,-0.5162683661848424,0.3040953627876811,1.0
38,37,male,own,8938,126,-0.7368646297454804,0.04373907230894736,0.6363742815333744,0.31988664615767826,0.6998697790237314,1.0
39,24,male,own,5493,163,0.4316499293641771,0.12300329512374564,0.3245118001753421,0.5524849047009123,0.17209515394864203,1.0
40,30,male,own,8892,434,0.818065041331282,0.5586423964504253,0.26951186229227264,0.171845741257302,0.4976503343217592,1.0
41,26,male,own,8533,300,-0.6406337822595161,0.34316735317265823,0.1909265850716435,0.46590606175569826,0.24703008255857817,1.0
42,44,male,own,7613,72,-0.5249133501522447,0.729173487549448,0.6946409588937278,-0.4238144464431759,0.266013145953895,1.0
43,24,male,rent,2712,253,0.9427901880832792,0.6522916485919397,0.2187156129979273,0.12899273841013303,0.2820645542423833,1.0
44,58,female,free,7141,34,-0.6380460945810205,0.8456043629899068,0.5953032659274891,-0.4409076289173959,0.4480363513395801,1.0
45,35,female,own,9655,99,0.7087701867391583,0.6924928266692253,0.26463502692535734,0.042872146405417366,0.14603518505835789,1.0
46,39,male,own,6335,84,-0.01544428710393042,0.42993107739014813,0.6619689447938686,-0.09190002218401672,0.45801409683618843,1.0
47,23,female,rent,5586,303,-0.5055378511936459,0.6729666223944324,0.8149397285405392,-0.4879063509349715,0.5605367024032307,1.0
48,39,male,own,7199,395,0.7414998025450228,0.2753811742554185,0.7780252431446532,-0.05340641740007168,0.5349648564696927,1.0
49,28,female,own,9770,400,-0.10938948999466902,0.3063134987782127,0.7608513309307817,-0.0671648297089944,0.44450569036273657,1.0
50,29,male,own,875,219,0.029634707859380383,0.7889851599207933,0.18772240569225207,0.023292434386954608,0.8552319472636772,1.0
51,30,male,own,8326,484,-0.2815332612004686,0.4464195164015822,0.08838494698451871,0.4651955366138991,0.2307940231784537,1.0
52,25,male,own,3252,427,0.18590170286985486,0.7983803405183525,0.6989488284873856,-0.497329169005738,0.5551270694032366,1.0
53,31,male,own,1685,356,-0.6729522548299545,0.8224223736682784,0.3683472137943513,-0.19076958746262962,0.15583727526089888,1.0
54,57,male,free,4043,26,-0.21783692669647858,0.8575623376612838,0.4323462264033473,-0.28990856406463106,0.16404011099011878,1.0
55,26,male,own,7655,137,0.938824644670575,0.9166352358412073,0.031149092793391064,0.05221567136540162,0.6164792647093866,1.0
56,52,male,own,3173,436,-0.4837331345977449,0.43098522051329624,0.2595764492750492,0.30943833021165457,0.6094165823990388,1.0
57,31,female,own,1121,452,0.3134733290825844,0.31886681832113883,0.03367640387446402,0.6474567778043971,0.8902301615600112,1.0
58,23,female,own,3943,373,-0.34961987155061025,0.5821987465941139,0.8791857726012476,-0.4613845191953616,0.6020863080940658,1.0
59,23,female,rent,8089,260,0.5469462513732013,0.3711724234376276,0.24339668321853047,0.38543089334384195,0.9638119183643652,1.0
60,27,male,own,9792,188,-0.7382526785633003,0.601074166800233,0.557337169573008,-0.1584113363732409,0.1438253635599368,1.0
61,50,male,own,6973,191,0.9396420901570894,0.7055858626438246,0.03897932066113041,0.255434816695045,0.18820691630266695,1.0
62,61,male,free,5775,161,-0.0924209172327215,0.6884050184921369,0.6668473913056581,-0.35525240979779493,0.13965927541334328,1.0
